clust_ID,X_position,Y_position,KERATIN,CD45
4,65.08702532,2717.098101,5.61687466,5.094206337
4,48.03846154,3380.213675,5.774113482,5.047057882
4,48.10434783,992.3608696,5.387343018,5.191966022
4,65.01465798,2880.750814,5.327836637,5.005791879
2,49.83050847,4370.824859,5.981998986,5.449582531
2,50.64864865,5338.934363,5.915879393,6.716772383
3,49.68527919,405.8375635,5.784995914,7.344089257
4,45.79220779,87.74025974,5.924637695,6.916534808
4,55.80333333,615.2766667,5.452368041,6.323432608
2,50.02212389,4902.030973,7.85572131,5.344871573
3,50.88957055,641.2515337,5.581626394,7.84499558
4,51.75796178,1110.10828,5.71935068,5.353125178
3,48.41891892,2590.175676,5.419906962,8.117955276
2,51.22619048,5465.166667,6.735136498,5.141663557
4,50.48484848,5957.464646,5.613109674,5.442242786
4,50.7251462,956.8888889,5.376090294,5.089075279
4,58.1130137,511.3630137,5.760510177,5.733019817
4,58.99245283,712.1207547,5.749729427,5.395803565
4,59.25268817,939.188172,5.094805123,5.06846453
2,53.51807229,1161.126506,5.046180741,6.15138598
4,55.19871795,1091.00641,5.852644469,5.076735096
4,51.21428571,5623.928571,5.462216296,5.822623152
4,62.70422535,5781.014085,5.851325186,5.426190174
2,64.04016064,4580.791165,6.721048216,5.364980887
4,65.3125,5348.838542,5.814068341,5.752225356
4,57.47826087,343.4347826,5.717134961,5.196994582
4,60.96045198,2043.022599,5.18260845,4.705347802
4,84.6140873,2128.074405,5.446707438,4.798353505
4,62.69014085,3119.375587,5.589356474,4.780306365
4,64.4296875,5683.660156,5.5378109,5.865848176
4,60.784,363.816,5.653415067,5.619559933
2,69.57336957,4192.902174,5.697594893,6.071126748
3,63.56741573,2589.651685,5.317431279,7.666342961
4,67.32926829,3028.518293,5.324109909,4.739242591
2,61.16216216,1576.486486,6.893464461,4.883211339
4,65.01190476,2973.345238,5.303334521,4.986700331
3,65.55494505,3950.538462,5.927599792,7.276465203
2,66.44736842,3627.484211,5.869460444,5.782382847
4,66.93280632,5653.162055,5.539293071,6.665537689
3,67.90686275,460.1470588,6.231764012,7.460377481
2,65.16666667,5460.208333,5.570012958,4.742392675
4,65.52348993,5624.322148,5.510203156,5.506667469
4,81.01204819,2848.421687,5.59471138,5.176387945
2,73.34008097,1520.008097,6.772579968,5.290064784
2,76.01530612,4143.135204,5.92598681,6.87498697
2,83.35294118,4435.037255,6.157332031,5.322923892
2,75.8361204,4552.792642,6.650499682,5.388750975
4,74.07017544,3.315789474,5.709758733,5.431958402
4,76.81171548,2085.25523,5.741372474,5.158008727
2,83.00193798,4293.664729,5.900130946,5.385907549
2,73.98837209,1679.27907,5.720311777,5.521321373
2,81.92307692,1771.295385,7.160511403,5.169189451
4,82.24918033,2812.711475,5.714544033,5.413415563
4,73.95705521,5741.668712,5.841818023,5.476797198
4,76.29218107,2478.209877,5.581669089,7.078823771
4,72.83516484,1986.604396,5.209966431,4.889770592
4,77.39698492,3048.708543,5.580980584,4.785353781
4,81.85925926,3092.2,5.753595044,5.041391988
2,76.00763359,4596.748092,5.718357672,5.377502396
4,74.08163265,5959.387755,5.225252806,5.097249767
4,85.23423423,218.9459459,7.414476998,5.422923916
3,81.13377926,343.6555184,5.803824524,6.780225905
4,91.23553719,2963.766529,5.288945071,5.013427535
4,80.07575758,260.1767677,5.801553658,5.387894893
2,94.95590829,5206.84127,6.663947751,5.318975526
4,85.63013699,660.7726027,5.542015344,5.913273435
4,87.67105263,5899.638158,5.578562313,5.339086728
4,82.64220183,502.2889908,5.933752823,5.755045188
3,85.97183099,3314.661972,8.025775429,7.913260827
4,89.67708333,469.3229167,5.659300724,6.136387514
4,85.96710526,2352.690789,5.615550257,5.581986464
